date,avgprice,volume,numsales
29-Aug-21,7.407,"41,420.18","5,592"
30-Aug-21,10.254,"11,217.88","1,094"
31-Aug-21,8.4544,"4,802.13",568
1-Sep-21,8.4104,"4,087.46",486
2-Sep-21,6.3014,"2,495.37",396
3-Sep-21,6.566,"1,713.71",261
4-Sep-21,6.1033,"1,159.63",190
5-Sep-21,5.4215,"1,149.37",212
6-Sep-21,5.9345,"1,180.97",199
7-Sep-21,4.9971,834.52,167
8-Sep-21,5.0021,700.296,140
9-Sep-21,5.1765,626.352,121
10-Sep-21,5.0416,569.705,113
11-Sep-21,4.6483,381.161,82
12-Sep-21,4.4912,372.774,83
13-Sep-21,4.349,495.785,114
14-Sep-21,4.4312,576.05,130
15-Sep-21,5.0683,795.731,157
16-Sep-21,5.3917,868.061,161
17-Sep-21,5.4973,566.22,103
18-Sep-21,5.3228,351.305,66
19-Sep-21,4.6738,364.56,78
20-Sep-21,5.8077,331.039,57
21-Sep-21,5.1945,"1,137.60",219
22-Sep-21,5.8416,636.739,109
23-Sep-21,5.2701,611.332,116
24-Sep-21,5.6796,443.011,78
25-Sep-21,5.2904,365.035,69
26-Sep-21,5.2152,385.924,74
27-Sep-21,5.0781,472.266,93
28-Sep-21,5.156,464.04,90
29-Sep-21,5.3593,514.49,96
30-Sep-21,5.2408,445.465,85
1-Oct-21,5.0818,355.727,70
2-Oct-21,5.6522,310.872,55
3-Oct-21,5.1736,424.238,82
4-Oct-21,5.0189,426.604,85
5-Oct-21,4.5806,380.192,83
6-Oct-21,4.56,351.12,77
7-Oct-21,4.4018,374.152,85
8-Oct-21,4.5858,816.272,178
9-Oct-21,4.8111,495.541,103
10-Oct-21,4.6142,263.012,57
11-Oct-21,4.3724,227.367,52
12-Oct-21,4.3959,259.359,59
13-Oct-21,5.0715,471.648,93
14-Oct-21,4.5221,352.724,78
15-Oct-21,4.4037,325.87,74
16-Oct-21,4.5648,237.37,52
17-Oct-21,4.4028,246.556,56
18-Oct-21,3.836,130.425,34
19-Oct-21,4.1447,227.958,55
20-Oct-21,4.1073,332.694,81
21-Oct-21,3.9594,304.875,77
22-Oct-21,4.0348,387.336,96
23-Oct-21,4.3576,326.822,75
24-Oct-21,4.8827,185.542,38
25-Oct-21,4.2406,178.107,42
26-Oct-21,5.2071,229.112,44
27-Oct-21,5.6,285.602,51
28-Oct-21,4.1762,459.386,110
29-Oct-21,4.2973,352.381,82
30-Oct-21,4.9549,252.699,51
31-Oct-21,4.8385,290.308,60
1-Nov-21,4.2884,231.573,54
2-Nov-21,3.9587,249.396,63
3-Nov-21,4.1665,345.819,83
4-Nov-21,4.5213,370.745,82
5-Nov-21,4.3831,324.352,74
6-Nov-21,4.565,337.809,74
7-Nov-21,4.8776,595.067,122
8-Nov-21,4.7696,453.116,95
9-Nov-21,4.7548,385.142,81
10-Nov-21,5.0334,327.17,65
11-Nov-21,5.0701,466.452,92
12-Nov-21,4.898,538.777,110
13-Nov-21,5.955,"3,733.77",627
14-Nov-21,7.6157,"4,691.27",616
15-Nov-21,7.3443,"2,012.33",274
16-Nov-21,7.9387,"2,087.88",263
17-Nov-21,10.1263,"3,797.35",375
18-Nov-21,9.5326,"1,458.48",153
19-Nov-21,8.5554,949.655,111
20-Nov-21,8.0381,787.735,98
21-Nov-21,7.0136,554.071,79
22-Nov-21,7.5192,601.539,80
23-Nov-21,6.7161,362.668,54
24-Nov-21,6.8446,438.053,64
25-Nov-21,7.4331,445.988,60
26-Nov-21,7.7356,355.838,46
27-Nov-21,7.2675,327.036,45
28-Nov-21,7.6606,459.635,60
29-Nov-21,7.5075,487.989,65
30-Nov-21,7.4405,431.551,58
1-Dec-21,6.8101,401.799,59
2-Dec-21,6.9594,494.115,71
3-Dec-21,7.8994,592.453,75
4-Dec-21,8.0479,684.07,85
5-Dec-21,7.9389,492.214,62
6-Dec-21,7.7998,421.188,54
7-Dec-21,7.4871,284.508,38
8-Dec-21,7.1764,294.233,41
9-Dec-21,9.115,355.486,39
10-Dec-21,7.6669,521.348,68
11-Dec-21,8.4896,509.375,60
12-Dec-21,7.4913,337.108,45
13-Dec-21,6.8417,595.23,87
14-Dec-21,7.5111,435.642,58
15-Dec-21,7.3575,456.163,62
16-Dec-21,7.1274,334.988,47
17-Dec-21,7.2299,491.632,68
18-Dec-21,9.0858,536.065,59
19-Dec-21,7.1895,294.77,41
20-Dec-21,7.9933,487.591,61
21-Dec-21,8.1256,812.562,100
22-Dec-21,8.1369,"1,074.07",132
23-Dec-21,9.0673,"2,085.47",230
24-Dec-21,10.0806,"1,875",186
25-Dec-21,9.9087,"1,357.49",137
26-Dec-21,11.798,"4,801.80",407
27-Dec-21,12.4917,"4,921.74",394
28-Dec-21,12.0879,"1,680.22",139
29-Dec-21,14.0263,"2,468.63",176
30-Dec-21,13.1368,"1,720.93",131
31-Dec-21,13.8942,"1,875.72",135
1-Jan-22,14.9945,"4,888.21",326
2-Jan-22,17.2933,"6,900.04",399
3-Jan-22,17.9541,"5,152.83",287
4-Jan-22,17.9783,"2,409.10",134
5-Jan-22,17.412,"2,333.21",134
6-Jan-22,16.7946,"1,847.40",110
7-Jan-22,17.3854,"1,390.84",80
8-Jan-22,15.658,"1,346.59",86
9-Jan-22,15.8743,"1,857.30",117
10-Jan-22,16.4074,"1,739.18",106
11-Jan-22,16.7195,"1,120.21",67
12-Jan-22,20.2891,"1,197.06",59
13-Jan-22,18.0693,993.811,55
14-Jan-22,17.3708,972.764,56
15-Jan-22,17.228,"1,912.31",111
16-Jan-22,18.1334,"1,269.34",70
17-Jan-22,18.1481,"1,905.55",105
18-Jan-22,19.1637,"1,264.81",66
19-Jan-22,19.9195,"1,215.09",61
20-Jan-22,17.8503,"1,053.17",59
21-Jan-22,19.3663,"1,742.97",90
22-Jan-22,16.9801,967.866,57
23-Jan-22,17.6322,"1,110.83",63
24-Jan-22,16.9139,"1,183.97",70
25-Jan-22,19.6793,"4,211.38",214
26-Jan-22,21.1865,"4,089",193
27-Jan-22,22.6982,"1,656.97",73
28-Jan-22,22.5919,"1,649.21",73
29-Jan-22,23.2842,"2,933.81",126
30-Jan-22,26.2864,"5,125.85",195
31-Jan-22,29.439,"4,474.73",152
1-Feb-22,29.4124,"2,353",80
2-Feb-22,25.2712,"1,617.36",64
3-Feb-22,23.1014,"1,594",69
4-Feb-22,24.3156,"1,045.57",43
5-Feb-22,23.369,677.7,29
6-Feb-22,23.236,766.789,33
7-Feb-22,24.8413,"1,167.54",47
8-Feb-22,22.1624,"1,440.56",65
9-Feb-22,21.1426,909.131,43
10-Feb-22,21.272,638.161,30
11-Feb-22,21.4916,537.29,25
12-Feb-22,22.0247,660.742,30
13-Feb-22,22.0701,882.805,40
14-Feb-22,21.6219,432.439,20
15-Feb-22,21.2204,700.273,33
16-Feb-22,22.9527,"1,055.82",46
17-Feb-22,20.5631,658.02,32
18-Feb-22,20.6394,639.82,31
19-Feb-22,19.1168,630.854,33
20-Feb-22,23.1923,487.038,21
21-Feb-22,21.462,321.93,15
22-Feb-22,19.725,473.399,24
23-Feb-22,20.3344,508.361,25
24-Feb-22,16.61,"1,727.44",104
25-Feb-22,18.9662,834.511,44
26-Feb-22,20.3677,529.559,26
27-Feb-22,23.1484,300.929,13
28-Feb-22,20.57,329.12,16
1-Mar-22,19.2155,326.663,17
2-Mar-22,18.0057,522.166,29
3-Mar-22,18.633,428.56,23
4-Mar-22,17.5296,543.418,31
5-Mar-22,19.3594,677.58,35
6-Mar-22,17.3348,433.37,25
7-Mar-22,15.5553,793.318,51
8-Mar-22,16.0646,690.78,43
9-Mar-22,15.6586,516.734,33
10-Mar-22,16.2618,715.52,44
11-Mar-22,17.8626,875.269,49
12-Mar-22,19.2708,"1,426.04",74
13-Mar-22,21.5069,"1,462.47",68
14-Mar-22,21.8669,765.343,35
15-Mar-22,20.6887,"1,117.19",54
16-Mar-22,23.3326,"4,433.20",190
17-Mar-22,20.8233,"7,829.56",376
18-Mar-22,21.0517,"4,020.87",191
19-Mar-22,22.9335,"3,806.95",166
20-Mar-22,23.2438,"1,929.24",83
21-Mar-22,23.7027,"1,232.54",52
22-Mar-22,23.5712,"1,225.70",52
23-Mar-22,24.0809,"1,661.58",69
24-Mar-22,25.1977,"2,771.75",110
25-Mar-22,24.4794,"1,101.57",45
26-Mar-22,24.8946,"1,319.41",53
27-Mar-22,26.5064,"1,351.82",51
28-Mar-22,25.4456,"1,094.16",43
29-Mar-22,22.4464,852.963,38
30-Mar-22,23.3522,"1,027.50",44
31-Mar-22,24.275,"1,238.03",51
1-Apr-22,24.391,"1,121.99",46
2-Apr-22,23.6971,995.28,42
3-Apr-22,25.4348,839.348,33
4-Apr-22,25.7297,"1,312.21",51
5-Apr-22,27.9539,"2,040.64",73
6-Apr-22,28.4996,"1,168.48",41
7-Apr-22,27.8186,584.19,21
8-Apr-22,30.9951,898.858,29
9-Apr-22,26.9772,296.749,11
10-Apr-22,28.2667,424,15
11-Apr-22,28.683,"1,233.37",43
12-Apr-22,29.077,814.155,28
